Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
001340,KR7001340009,PKC,KOSPI,,5320,2,-100,-1.85,5450,5450,5270,140465,747931930,238965925240,44918407,STK
058430,KR7058430000,포스코스틸리온,KOSPI,,39550,2,-900,-2.22,40450,40950,39000,45061,1794820575,237300000000,6000000,STK
001750,KR7001750009,한양증권,KOSPI,,18500,1,10,0.05,18550,18650,18380,30279,559189475,235477879000,12728534,STK
210980,KR7210980009,SK디앤디,KOSPI,,12640,2,-40,-0.32,12660,12690,12620,14066,177753295,235323708480,18617382,STK
008490,KR7008490005,서흥,KOSPI,,20250,1,290,1.45,20300,20350,20000,9638,194511250,234274538250,11569113,STK
035510,KR7035510007,신세계 I&C,KOSPI,,16740,1,1060,6.76,15920,17270,15920,502050,8466125510,234040266000,13980900,STK
004980,KR7004980009,성신양회,KOSPI,,9440,2,-160,-1.67,9600,9680,9210,58195,546806885,231431729120,24516073,STK
000050,KR7000050005,경방,KOSPI,,8440,2,-10,-0.12,8450,8570,8340,85651,725586050,231384878800,27415270,STK
084680,KR7084680008,이월드,KOSPI,,1608,1,10,0.63,1615,1661,1601,408131,664340646,228024358344,141806193,STK
028100,KR7028100006,동아지질,KOSPI,,17010,3,0,0.0,17020,17280,17000,33147,564938190,227755429020,13389502,STK
136490,KR7136490000,선진,KOSPI,,9570,1,30,0.31,9530,9750,9510,76366,736927230,227570810280,23779604,STK
001630,KR7001630003,종근당홀딩스,KOSPI,,45150,1,200,0.44,45000,45500,44650,5163,232680950,226195224150,5009861,STK
000540,KR7000540005,흥국화재,KOSPI,,3505,1,35,1.01,3520,3570,3470,33520,117730455,225170470725,64242645,STK
001230,KR7001230002,동국홀딩스,KOSPI,,7080,2,-50,-0.7,7130,7180,7070,52212,371591640,225147419640,31800483,STK
000140,KR7000140004,하이트진로홀딩스,KOSPI,,9660,1,20,0.21,9640,9780,9630,21858,211954560,224177349900,23206765,STK
005010,KR7005010004,휴스틸,KOSPI,,3940,2,-35,-0.88,3975,4005,3930,128815,508787911,221381015500,56188075,STK
007460,KR7007460009,에이프로젠,KOSPI,,672,2,-17,-2.47,689,690,664,1468690,986783096,221292980160,329305030,STK
271980,KR7271980005,제일약품,KOSPI,,14990,1,100,0.67,14980,15000,14580,36315,533228210,220426031280,14704872,STK
003610,KR7003610003,방림,KOSPI,,5440,2,-20,-0.37,5460,5550,5430,72649,399181920,218699739520,40202158,STK
404990,KR7404990004,신한서부티엔디리츠,KOSPI,,3700,2,-30,-0.8,3730,3730,3695,33536,124294698,218685939600,59104308,STK
487570,KR7487570004,HS효성,KOSPI,,58200,1,200,0.34,57500,58700,57500,18702,1085544800,216848951400,3725927,STK
117580,KR7117580001,대성에너지,KOSPI,,7830,2,-20,-0.25,7850,7900,7800,39832,311769475,215325000000,27500000,STK
030210,KR7030210009,다올투자증권,KOSPI,,3525,1,75,2.17,3460,3525,3460,61307,214073955,214711648650,60911106,STK
003350,KR7003350006,한국화장품제조,KOSPI,,47300,2,-400,-0.84,47700,47700,47050,14067,663593975,214363600000,4532000,STK
